0;0;0;0;land;false;unknown;0
1;212;243;78;land;false;plains;1
2;50;216;246;land;true;hills;2
3;201;176;185;land;false;forest;3
4;68;251;228;land;false;plains;1
5;149;199;191;land;true;plains;3
6;198;243;180;land;true;desert;2
7;89;242;171;land;false;plains;1
8;214;241;112;land;false;plains;2
9;178;186;187;land;false;plains;2
10;244;121;180;land;false;plains;2
11;153;139;227;land;true;plains;3
12;143;232;212;land;false;plains;5
13;200;228;119;land;false;forest;3
14;204;224;85;land;true;plains;2
15;172;252;194;land;false;plains;3
16;211;185;181;land;false;hills;2
17;166;155;180;land;false;plains;2
18;85;226;207;land;false;forest;2
19;201;208;231;land;true;urban;3
20;222;83;246;land;false;plains;2
21;208;222;132;land;false;forest;2
22;104;201;212;land;false;hills;3
23;171;198;235;land;true;plains;2
24;240;215;130;land;false;plains;2
25;239;217;104;land;false;plains;1
26;194;245;210;land;false;plains;1
27;233;121;180;land;true;plains;2
28;226;232;250;land;false;desert;2
29;246;90;226;land;true;plains;4
30;251;219;173;land;false;plains;5
31;234;227;73;land;false;mountain;1
32;253;159;214;land;false;plains;5
33;186;199;239;land;false;forest;2
34;248;96;197;land;false;plains;3
35;192;133;227;land;false;plains;1
36;235;102;172;land;true;plains;3
37;204;178;226;land;false;hills;2
38;222;174;109;land;false;plains;2
39;244;186;247;land;false;hills;1
40;228;213;61;land;true;hills;3
41;99;227;179;land;false;plains;1
42;192;195;137;land;false;forest;2
43;217;107;188;land;false;plains;1
44;216;249;73;land;false;plains;2
45;235;169;175;land;false;plains;1
46;180;233;172;land;true;urban;1
47;207;191;109;land;false;plains;1
48;226;123;233;land;false;plains;2
49;128;196;213;land;false;plains;1
50;125;233;234;land;true;plains;2
51;170;140;229;land;false;plains;2
52;238;211;91;land;false;plains;1
53;94;213;210;land;false;plains;1
54;248;227;157;land;false;forest;1
55;242;197;164;land;false;plains;2
56;122;165;234;land;true;plains;4
57;163;197;190;land;false;plains;4
58;184;236;227;land;false;plains;2
59;78;246;198;land;true;urban;1
60;210;166;183;land;false;plains;2
61;240;235;142;land;false;plains;1
62;227;210;130;land;false;plains;3
63;220;203;200;land;false;plains;3
64;177;157;243;land;true;mountain;1
65;248;230;82;land;false;hills;3
66;241;188;230;land;true;plains;3
67;136;218;231;land;true;plains;4
68;153;173;194;land;false;plains;1
69;155;148;242;land;true;plains;3
70;204;232;125;land;false;forest;1
71;230;206;119;land;false;plains;2
72;162;250;159;land;true;plains;3
73;188;245;162;land;false;hills;1
74;120;248;221;land;false;plains;1
75;57;223;224;land;true;plains;1
76;247;226;62;land;true;plains;3
77;214;187;199;land;false;plains;2
78;246;84;243;land;true;plains;4
