1;arms_factory;2994.00;9.90;1904.00;3.83;0
1;arms_factory;2970.00;10.18;1918.00;5.38;0
1;arms_factory;2931.00;10.18;1957.00;1.77;0
1;arms_factory;2983.00;9.90;1966.00;5.89;0
1;arms_factory;2958.00;10.40;1939.00;0.82;0
1;arms_factory;2987.00;9.90;1904.00;3.83;0
1;industrial_complex;2990.00;9.80;1917.00;0.21;0
1;industrial_complex;2936.00;10.10;1954.00;2.88;0
1;industrial_complex;2977.00;10.10;1966.00;5.55;0
1;industrial_complex;2951.00;10.20;1939.00;2.28;0
1;industrial_complex;2990.00;9.88;1901.00;4.94;0
1;industrial_complex;2984.00;9.75;1917.00;1.33;0
1;air_base;2929.00;10.23;1954.00;4.34;0
1;naval_base;2982.00;9.75;1979.00;-3.27;11532
1;naval_base;3004.00;9.53;1943.00;-3.76;11980
1;naval_base;2999.00;9.73;1972.00;-3.89;16965
1;naval_base;2886.00;9.50;1961.00;-0.79;17227
1;naval_base;2935.00;9.78;1981.00;-2.45;15622
1;naval_base;2997.00;9.50;1896.00;0.12;11119
1;naval_base;2914.00;9.75;1981.00;-4.29;11475
1;naval_base;2929.00;9.57;1916.00;-1.11;12761
1;naval_base;2974.00;9.50;1891.00;0.36;14799
1;naval_base;2918.00;9.50;1920.00;0.00;12761
1;bunker;2999.00;9.70;1962.00;2.95;0
1;bunker;2984.00;9.85;1903.00;4.51;0
1;bunker;2995.00;9.90;1920.00;2.35;0
1;bunker;2947.00;9.90;1970.00;3.56;0
1;bunker;2993.00;9.90;1934.00;0.29;0
1;bunker;2950.00;10.38;1918.00;2.95;0
1;bunker;2968.00;10.20;1966.00;5.62;0
1;bunker;2919.00;9.90;1930.00;2.00;0
1;bunker;2949.00;9.90;1962.00;5.02;0
1;bunker;2909.00;10.00;1956.00;2.86;0
1;bunker;2949.00;10.07;1947.00;4.07;0
1;bunker;2893.00;9.80;1976.00;1.90;0
1;bunker;2967.00;9.80;1894.00;3.46;0
1;coastal_bunker;2935.00;9.50;1983.00;-2.45;0
1;coastal_bunker;2976.00;9.70;1892.00;0.36;0
1;coastal_bunker;2977.00;9.75;1979.00;-3.27;0
1;coastal_bunker;2894.00;9.80;1982.00;-2.09;0
1;coastal_bunker;2895.00;9.50;1956.00;-0.79;0
1;coastal_bunker;2915.00;9.50;1927.00;-1.37;0
1;coastal_bunker;3006.00;9.80;1929.00;-3.76;0
1;coastal_bunker;2932.00;9.50;1908.00;-1.11;0
1;coastal_bunker;2995.00;9.70;1893.00;0.12;0
1;coastal_bunker;3005.00;9.70;1961.00;1.57;0
1;dockyard;2996.00;9.50;1893.00;0.12;0
1;anti_air_building;2933.00;10.20;1945.00;5.08;0
